"iso3","year","number_grandparents","share_grandparents","pop_un"
"GRC",2022,2373413.76867549,0.228628284362026,10381103
"GRD",2022,27242.7409653534,0.21718612002514,125435
"GTM",2022,2882571.69653696,0.161560122300463,17842099
"GUF",2022,65188.8971687564,0.214033033577247,304574
"GUM",2022,42735.6115213683,0.248837560753508,171741
"GUY",2022,158995.840311006,0.196616670699277,808659
"HKG",2022,1495528.16270939,0.199850861374987,7483221
"HND",2022,1767924.21101428,0.169458104864776,10432810
"HRV",2022,984981.145168578,0.244416500928075,4029929
"HTI",2022,1647680.95934113,0.142225251367166,11585010
"HUN",2022,2392836.28487475,0.240096908746472,9966127
"IDN",2022,54583733.5822057,0.19812712395528,275498541
"IND",2022,274251390.997791,0.193525519138228,1417132956
"IRL",2022,967815.701074369,0.192711125785551,5022106
"IRN",2022,17858791.5734845,0.201684361019519,88548222
"IRQ",2022,6641002.06934951,0.149297424867505,44481692
"ISL",2022,81967.4601320958,0.219826161470351,372874
"ISR",2022,1833785.35568885,0.202970597218341,9034734
"ITA",2022,12713261.2952461,0.215415822448113,59017305
"JAM",2022,599531.897995203,0.212046837396919,2827356
"JOR",2022,1624057.4758572,0.143909670800308,11285256
"JPN",2022,30803620.151059,0.248930570053502,123743822
"KAZ",2022,3729042.95326965,0.192241440986354,19397706
"KEN",2022,7740565.89260703,0.143338230598298,54002103
"KGZ",2022,1039887.16455864,0.156831627889655,6630596
"KHM",2022,3513594.98328544,0.209581732058382,16764796
"KIR",2022,16401.046430554,0.124958449627846,131252
"KWT",2022,871166.60845328,0.204076487682153,4268824
"LBN",2022,1096019.89126211,0.199656526192897,5489527
"LBR",2022,798448.902418217,0.150579424162937,5302510
"LBY",2022,833390.800252105,0.122346117706971,6811747
"LKA",2022,4605698.95375258,0.21098390772651,21829622
"LSO",2022,348380.191497068,0.151093229258009,2305730
"LTU",2022,699415.671035807,0.254412533023348,2749140
"LUX",2022,108495.741819032,0.16757703721288,647438
"LVA",2022,475244.363284219,0.256846222429153,1850307
"MAR",2022,6921168.74866384,0.18478899148664,37454443
"MDA",2022,665308.096310074,0.203287049037041,3272752
"MDG",2022,4495327.27458134,0.151825684062755,29608477
"MDV",2022,84933.642887809,0.162158281092481,523770
"MEX",2022,28372115.539029,0.222545880930964,127488837
"MKD",2022,478305.183858894,0.228465544902758,2093555
"MLI",2022,2785982.71152051,0.12331028612548,22593271
"MLT",2022,107716.549988789,0.20207512585787,533052
"MMR",2022,9648329.29184636,0.178081977702792,54179145
"MNE",2022,140567.109039236,0.224187463679411,627007
"MNG",2022,556401.742269852,0.163735410487818,3398176
"MOZ",2022,4655952.82449298,0.141234831570994,32966038
"MRT",2022,634955.917907515,0.134068385516128,4736060
"MTQ",2022,110963.738029788,0.302185537275705,367204
